Data: 2024-04-03, Sensore: Magnetometer, x: 371, y: -88, z: -873
Data: 2024-04-03, Sensore: Accelerometer, x: 18, y: 12, z: 998
Data: 2024-04-03, Sensore: Gyroscope, x: -0.35, y: 0.0, z: -0.14
Data: 2024-04-03, Sensore: Magnetometer, x: 385, y: -101, z: -868
Data: 2024-04-03, Sensore: Magnetometer, x: 382, y: -98, z: -865
Data: 2024-04-03, Sensore: Accelerometer, x: 19, y: 12, z: 999
Data: 2024-04-03, Sensore: Gyroscope, x: -0.42, y: 0.0, z: -0.14
Data: 2024-04-03, Sensore: Magnetometer, x: 381, y: -90, z: -869
Data: 2024-04-03, Sensore: Accelerometer, x: 19, y: 12, z: 998
Data: 2024-04-03, Sensore: Gyroscope, x: -0.28, y: 0.0, z: -0.14
Data: 2024-04-03, Sensore: Magnetometer, x: 376, y: -95, z: -866
Data: 2024-04-03, Sensore: Accelerometer, x: 18, y: 12, z: 998
Data: 2024-04-03, Sensore: Gyroscope, x: -0.35, y: 0.0, z: -0.14
Data: 2024-04-03, Sensore: Magnetometer, x: 379, y: -98, z: -865
Data: 2024-04-03, Sensore: Magnetometer, x: 376, y: -104, z: -865
Data: 2024-04-03, Sensore: Magnetometer, x: 374, y: -105, z: -866
Data: 2024-04-03, Sensore: Accelerometer, x: 19, y: 13, z: 998
Data: 2024-04-03, Sensore: Magnetometer, x: 387, y: -99, z: -863
Data: 2024-04-03, Sensore: Gyroscope, x: -0.28, y: 0.0, z: -0.14
Data: 2024-04-03, Sensore: Magnetometer, x: 385, y: -102, z: -868
Data: 2024-04-03, Sensore: Accelerometer, x: 19, y: 12, z: 998
Data: 2024-04-03, Sensore: Gyroscope, x: -0.35, y: 0.0, z: -0.14
Data: 2024-04-03, Sensore: Magnetometer, x: 374, y: -96, z: -877
Data: 2024-04-03, Sensore: Magnetometer, x: 381, y: -93, z: -866
Data: 2024-04-03, Sensore: Accelerometer, x: 19, y: 12, z: 999
Data: 2024-04-03, Sensore: Magnetometer, x: 387, y: -97, z: -860
Data: 2024-04-03, Sensore: Accelerometer, x: 19, y: 12, z: 998
Data: 2024-04-03, Sensore: Magnetometer, x: 379, y: -96, z: -860
Data: 2024-04-03, Sensore: Magnetometer, x: 384, y: -100, z: -859
Data: 2024-04-03, Sensore: Accelerometer, x: 18, y: 12, z: 998
Data: 2024-04-03, Sensore: Gyroscope, x: -0.35, y: 0.0, z: -0.21
Data: 2024-04-03, Sensore: Magnetometer, x: 393, y: -96, z: -864
Data: 2024-04-03, Sensore: Accelerometer, x: 18, y: 12, z: 997
Data: 2024-04-03, Sensore: Gyroscope, x: -0.28, y: 0.0, z: -0.14
Data: 2024-04-03, Sensore: Magnetometer, x: 386, y: -88, z: -867
Data: 2024-04-03, Sensore: Accelerometer, x: 19, y: 12, z: 998
Data: 2024-04-03, Sensore: Gyroscope, x: -0.28, y: 0.07, z: -0.14
Data: 2024-04-03, Sensore: Magnetometer, x: 380, y: -100, z: -866
Data: 2024-04-03, Sensore: Gyroscope, x: -0.28, y: 0.0, z: -0.14
Data: 2024-04-03, Sensore: Magnetometer, x: 380, y: -99, z: -871
Data: 2024-04-03, Sensore: Gyroscope, x: -0.35, y: 0.0, z: -0.14
Data: 2024-04-03, Sensore: Magnetometer, x: 385, y: -87, z: -871
Data: 2024-04-03, Sensore: Accelerometer, x: 19, y: 13, z: 998
Data: 2024-04-03, Sensore: Magnetometer, x: 384, y: -91, z: -863
Data: 2024-04-03, Sensore: Accelerometer, x: 19, y: 12, z: 998
Data: 2024-04-03, Sensore: Gyroscope, x: -0.28, y: 0.07, z: -0.21
Data: 2024-04-03, Sensore: Magnetometer, x: 379, y: -93, z: -860
Data: 2024-04-03, Sensore: Gyroscope, x: -0.35, y: 0.0, z: -0.14
Data: 2024-04-03, Sensore: Magnetometer, x: 379, y: -102, z: -860
Data: 2024-04-03, Sensore: Accelerometer, x: 18, y: 12, z: 998
Data: 2024-04-03, Sensore: Gyroscope, x: -0.35, y: 0.0, z: -0.21
Data: 2024-04-03, Sensore: Magnetometer, x: 386, y: -110, z: -856
Data: 2024-04-03, Sensore: Gyroscope, x: -0.35, y: 0.0, z: -0.14
Data: 2024-04-03, Sensore: Magnetometer, x: 385, y: -111, z: -854
Data: 2024-04-03, Sensore: Accelerometer, x: 19, y: 12, z: 998
Data: 2024-04-03, Sensore: Magnetometer, x: 379, y: -99, z: -860
Data: 2024-04-03, Sensore: Accelerometer, x: 18, y: 12, z: 999
Data: 2024-04-03, Sensore: Gyroscope, x: -0.35, y: 0.0, z: -0.21
Data: 2024-04-03, Sensore: Magnetometer, x: 382, y: -87, z: -870
Data: 2024-04-03, Sensore: Accelerometer, x: 18, y: 12, z: 998
Data: 2024-04-03, Sensore: Gyroscope, x: -0.35, y: 0.0, z: -0.14
Data: 2024-04-03, Sensore: Magnetometer, x: 378, y: -91, z: -872
Data: 2024-04-03, Sensore: Accelerometer, x: 19, y: 12, z: 998
Data: 2024-04-03, Sensore: Magnetometer, x: 383, y: -98, z: -873
Data: 2024-04-03, Sensore: Accelerometer, x: 19, y: 12, z: 999
